Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Blue,https://www.gov.uk/order-copy-birth-death-marriage-certificate,Start now,https://www.gro.gov.uk/gro/content/certificates/default.asp,SSL Error,SSL_connect returned=1 errno=0 peeraddr=81.144.203.211:443 state=error: certificate verify failed (unable to get local issuer certificate),165218,"Foreign, Commonwealth & Development Office"
Blue,https://www.gov.uk/housing-and-universal-credit/renting-from-private-landlord,Multi-Agency Public Protection Agreement (MAPPA),https://mappa.justice.gov.uk/connect.ti/MAPPA/groupHome,SSL Error,SSL_connect returned=1 errno=0 peeraddr=35.176.216.5:443 state=error: certificate verify failed (unable to get local issuer certificate),14239,Department for Work and Pensions
Blue,https://www.gov.uk/benefit-cap/benefit-cap-amounts,Greater London,http://directory.londoncouncils.gov.uk,404,Not Found,7558,Department for Work and Pensions
Blue,https://www.gov.uk/maternity-pay-leave/leave,maternity planner,https://maternity-paternity-pay-leave,DNS Error,Failed to open TCP connection to maternity-paternity-pay-leave:443 (getaddrinfo: Temporary failure in name resolution),6820,Department for Work and Pensions
Blue,https://www.gov.uk/honours/nominate-someone-in-the-uk,Make a nomination,https://nominate-uk-honour.service.gov.uk/,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.135.225:443 state=error: certificate verify failed (unable to get local issuer certificate),3503,Cabinet Office
Blue,https://www.gov.uk/find-government-property,Start now,https://service.insite.cabinetoffice.gov.uk/government-property-finder/SearchForSale.aspx,Timeout,Failed to open TCP connection to service.insite.cabinetoffice.gov.uk:443 (execution expired),3382,Government Property Function
Blue,https://www.gov.uk/moving-or-retiring-abroad,tell the Student Loans Company,https://www.slc.co.uk/students-and-customers/contact-information-for-customers/loan-repayment-enquiries.aspx,Timeout,Failed to open TCP connection to www.slc.co.uk:443 (execution expired),2194,Department for Work and Pensions
Blue,https://www.gov.uk/get-a-dna-test/if-youre-getting-a-test-to-use-in-court,Eurofins Forensic Services Limited,https://www.eurofins.co.uk/forensic-services/our-services/physical-forensics/paternity,404,Not Found,1318,Department for Work and Pensions
Blue,https://www.gov.uk/your-rights-after-crime,Scotland,https://www.mygov.scot/victim-witness-rights/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,872,Ministry of Justice
Blue,https://www.gov.uk/chwilio-am-swydd,Dechrau nawr,https://findajob.dwp.gov.uk/?lang_code=cy,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,808,Department for Work and Pensions
Blue,https://www.gov.uk/going-to-court-victim-witness,Ask the Crown Prosecution Service ( CPS ),https://www.cps.gov.uk/cps-areas-and-cps-direct,404,Not Found,657,HM Courts & Tribunals Service
Blue,https://www.gov.uk/convert-civil-partnership,different rules for Scotland,https://www.nrscotland.gov.uk/registration/i-want-to-have-a-civil-partnership-registration-in-scotland-how-do-i-go-about-it/i-want-to-change-my-civil-partnership-into-a-marriage-how-do-i-go-about-it,404,Not Found,595,"Foreign, Commonwealth & Development Office"
Blue,https://www.gov.uk/going-to-court-victim-witness/review-your-statement,ask the Crown Prosecution Service ( CPS ),https://www.cps.gov.uk/cps-areas-and-cps-direct,404,Not Found,273,HM Courts & Tribunals Service
Blue,https://www.gov.uk/challenge-solicitors-bill,Royal Courts of Justice Advice Bureau,http://www.rcjadvice.org.uk/,DNS Error,Failed to open TCP connection to www.www.rcjadvice.org.uk:443 (getaddrinfo: Name or service not known),267,HM Courts & Tribunals Service
Blue,https://www.gov.uk/going-to-court-victim-witness/extra-protection-in-the-courtroom,Crown Prosecution Service ( CPS ),https://www.cps.gov.uk/cps-areas-and-cps-direct,404,Not Found,213,HM Courts & Tribunals Service
Blue,https://www.gov.uk/your-rights-after-crime/if-the-case-goes-to-court,local Crown Prosecution Service ( CPS ),https://www.cps.gov.uk/cps-areas-and-cps-direct,404,Not Found,175,Ministry of Justice
Blue,https://www.gov.uk/criminal-injuries-compensation-tribunal/appeal-to-tribunal,Apply now,https://www.special-tribunals.service.gov.uk/cic-submit,404,Not Found,162,Criminal Injuries Compensation Authority
Blue,https://www.gov.uk/represent-yourself-in-court/divorce-and-separation-involving-children,help with forms and documents,http://www.thepsu.org/get-help,SSL Error,SSL_connect returned=1 errno=0 peeraddr=77.68.82.104:443 state=error: certificate verify failed (hostname mismatch),148,HM Courts & Tribunals Service
Blue,https://www.gov.uk/assess-approve-court-costs/get-a-detailed-assessment,Royal Courts of Justice Advice Bureau,http://www.rcjadvice.org.uk/,DNS Error,Failed to open TCP connection to www.www.rcjadvice.org.uk:443 (getaddrinfo: Name or service not known),130,HM Courts & Tribunals Service
Blue,https://www.gov.uk/your-rights-after-crime/if-the-crime-was-serious-or-youre-vulnerable,your local Crown Prosecution Service ( CPS ),https://www.cps.gov.uk/cps-areas-and-cps-direct,404,Not Found,128,Ministry of Justice
