Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Blue,https://www.gov.uk/find-a-job,Start now,https://www.jobs.service.gov.uk/jobs,403,"Blocked, but may work in a browser.",282268,Department for Work and Pensions
Blue,https://www.gov.uk/find-a-job,Safer Jobs: advice on avoiding job scams,http://www.safer-jobs.com/,403,"Blocked, but may work in a browser.",282268,Department for Work and Pensions
Blue,https://www.gov.uk/benefits-calculators,entitledto benefits calculator,https://www.entitledto.co.uk/?utm_source=BAdviser&utm_medium=referral&utm_campaign=GovUK,403,"Blocked, but may work in a browser.",185345,Department for Work and Pensions
Blue,https://www.gov.uk/order-copy-birth-death-marriage-certificate,Start now,https://www.gro.gov.uk/gro/content/certificates/default.asp,SSL Error,SSL_connect returned=1 errno=0 peeraddr=81.144.203.211:443 state=error: certificate verify failed (unable to get local issuer certificate),165218,"Foreign, Commonwealth & Development Office"
Blue,https://www.gov.uk/order-copy-birth-death-marriage-certificate,use the online form to contact the GRO,https://www.certificate-enquiries.homeoffice.gov.uk/about,403,"Blocked, but may work in a browser.",165218,"Foreign, Commonwealth & Development Office"
Blue,https://www.gov.uk/universal-credit/how-to-claim,Get Help to Claim if you live in Scotland,https://www.cas.org.uk/helptoclaim,403,"Blocked, but may work in a browser.",163483,Department for Work and Pensions
Blue,https://www.gov.uk/pip,tell Social Security Scotland,https://www.mygov.scot/adult-disability-payment-changes/types-of-change-to-tell-social-security-scotland-about,404,Not Found,149627,Department for Work and Pensions
Blue,https://www.gov.uk/carers-allowance/how-to-claim,the charity Carers Trust,https://carers.org/,403,"Blocked, but may work in a browser.",51352,Department for Work and Pensions
Blue,https://www.gov.uk/report-benefit-fraud,other types of fraud,http://reportfraud.police.uk/,403,"Blocked, but may work in a browser.",48651,Department for Work and Pensions
Blue,https://www.gov.uk/divorce/file-for-divorce,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",46722,Ministry of Justice
Blue,https://www.gov.uk/apply-national-insurance-number/how-to-apply,Apply,https://www.apply-national-insurance-number.service.gov.uk/work,503,Service Unavailable,46064,Department for Work and Pensions
Blue,https://www.gov.uk/get-state-pension,request an invitation code,https://get-state-pension.service.gov.uk/request-invitation-code/en,403,"Blocked, but may work in a browser.",42435,Department for Work and Pensions
Blue,https://www.gov.uk/get-state-pension,Start now,https://get-state-pension.service.gov.uk/invitation-code/en,403,"Blocked, but may work in a browser.",42435,Department for Work and Pensions
Blue,https://www.gov.uk/applying-for-probate/apply-for-probate,Read guidance from Money Helper about using a probate practitioner,https://www.moneyhelper.org.uk/en/family-and-care/death-and-bereavement/when-to-use-a-probate-specialist,403,"Blocked, but may work in a browser.",39422,HM Courts & Tribunals Service
Blue,https://www.gov.uk/pension-credit,Royal Mail redirection service,https://www.royalmail.com/receiving/redirection/concessions,403,"Blocked, but may work in a browser.",36851,Department for Work and Pensions
Blue,https://www.gov.uk/get-document-legalised,notaries and solicitors in Scotland,https://www.lawscot.org.uk/find-a-solicitor,403,"Blocked, but may work in a browser.",32759,"Foreign, Commonwealth & Development Office"
Blue,https://www.gov.uk/budgeting-help-benefits/how-to-apply,MoneyHelper,https://www.moneyhelper.org.uk/,403,"Blocked, but may work in a browser.",27082,Department for Work and Pensions
Blue,https://www.gov.uk/employment-support-allowance/what-youll-get,Money Helper,https://www.moneyhelper.org.uk/en,403,"Blocked, but may work in a browser.",26592,Department for Work and Pensions
Blue,https://www.gov.uk/divorce,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",22161,Ministry of Justice
Blue,https://www.gov.uk/budgeting-help-benefits/eligibility,MoneyHelper,https://www.moneyhelper.org.uk/,403,"Blocked, but may work in a browser.",20264,Department for Work and Pensions
Blue,https://www.gov.uk/applying-for-probate/if-theres-a-will,probate practitioner (such as a solicitor),https://www.moneyhelper.org.uk/en/family-and-care/death-and-bereavement/when-to-use-a-probate-specialist,403,"Blocked, but may work in a browser.",17049,HM Courts & Tribunals Service
Blue,https://www.gov.uk/looking-after-children-divorce/apply-for-court-order,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",15752,Cafcass
Blue,https://www.gov.uk/money-property-when-relationship-ends,private pension plans,https://www.moneyadviceservice.org.uk/en/articles/dividing-pensions-on-divorce-or-dissolution,403,"Blocked, but may work in a browser.",15566,HM Courts & Tribunals Service
Blue,https://www.gov.uk/money-property-when-relationship-ends,if you were not married or in a civil partnership,https://www.moneyadviceservice.org.uk/en/articles/how-to-sort-out-your-finances-on-separation,403,"Blocked, but may work in a browser.",15566,HM Courts & Tribunals Service
Blue,https://www.gov.uk/money-property-when-relationship-ends,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",15566,HM Courts & Tribunals Service
Blue,https://www.gov.uk/new-state-pension/how-to-claim,request an invitation code,https://get-state-pension.service.gov.uk/request-invitation-code/en,403,"Blocked, but may work in a browser.",14332,Department for Work and Pensions
Blue,https://www.gov.uk/housing-and-universal-credit/renting-from-private-landlord,Multi-Agency Public Protection Agreement (MAPPA),https://mappa.justice.gov.uk/connect.ti/MAPPA/groupHome,SSL Error,SSL_connect returned=1 errno=0 peeraddr=35.176.216.5:443 state=error: certificate verify failed (unable to get local issuer certificate),14239,Department for Work and Pensions
Blue,https://www.gov.uk/budgeting-help-benefits,MoneyHelper,https://www.moneyhelper.org.uk/,403,"Blocked, but may work in a browser.",13233,Department for Work and Pensions
Blue,https://www.gov.uk/get-birthday-anniversary-message-from-king,Royal website,https://www.royal.uk/anniversary-messages-0,403,"Blocked, but may work in a browser.",12592,Cabinet Office
