Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Green,https://www.gov.uk/check-eori-number,check non-GB EORI numbers online,https://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp?Lang=en,SSL Error,SSL_read: unexpected eof while reading,23770,HM Revenue & Customs
Green,https://www.gov.uk/replacement-exam-certificate,AQA,https://www.aqa.org.uk/contact-us/past-results-and-lost-certificates,404,Not Found,10114,Department for Education
Green,https://www.gov.uk/workplace-pensions/joining-a-workplace-pension,EU cross-border pension scheme,https://www.thepensionsregulator.gov.uk/en/document-library/regulatory-guidance/cross-border-schemes-guidance-following-end-of-brexit-transition-period,404,Not Found,4505,HM Revenue & Customs
Green,https://www.gov.uk/postgraduate-scholarships-international-students,Check if applications for a Chevening Scholarship are open where you live,http://www.chevening.org/apply,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
Green,https://www.gov.uk/postgraduate-scholarships-international-students,eligible work experience,http://www.chevening.org/apply/work-experience,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
Green,https://www.gov.uk/postgraduate-scholarships-international-students,Find out how you can apply for a Marshall Scholarship,http://www.marshallscholarship.org/applications/apply,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
Green,https://www.gov.uk/postgraduate-scholarships-international-students,eligibility criteria,https://www.chevening.org/scholarships/who-can-apply/eligibility/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
Green,https://www.gov.uk/consumer-protection-rights,Advice Direct Scotland,https://www.advice.scot,SSL Error,SSL_connect returned=1 errno=0 peeraddr=3.9.147.253:443 state=error: certificate verify failed (unable to get local issuer certificate),4069,Department for Business and Trade
Green,https://www.gov.uk/charge-reclaim-record-vat,sending goods through the post (Royal Mail guidance),https://personal.help.royalmail.com/app/answers/detail/a_id/106,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),3162,HM Revenue & Customs
Green,https://www.gov.uk/charge-reclaim-record-vat/reclaim-vat-business-expenses,sending goods through the post (Royal Mail guidance),https://personal.help.royalmail.com/app/answers/detail/a_id/106,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),2832,HM Revenue & Customs
Green,https://www.gov.uk/write-business-plan,how to write a business plan,https://www.startupdonut.co.uk/business-planning/write-a-business-plan/writing-a-business-plan,Timeout,Failed to open TCP connection to www.startupdonut.co.uk:443 (execution expired),2571,Department for Business and Trade
Green,https://www.gov.uk/replacement-exam-certificate/if-your-old-exam-board-no-longer-exists,Contact AQA,https://www.aqa.org.uk/contact-us/past-results-and-lost-certificates,404,Not Found,2563,Department for Education
Green,https://www.gov.uk/night-working-hours,risk assessment,http://www.hse.gov.uk/risk/faq.htm#q1,404,Not Found,2269,Department for Business and Trade
Green,https://www.gov.uk/renting-out-a-property/landlord-responsibilities,landlords in Scotland,https://www.mygov.scot/renting-your-property-out/your-responsibilities/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,2086,HM Revenue & Customs
Green,https://www.gov.uk/become-childminder-nanny,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,1963,Ofsted
Green,https://www.gov.uk/become-childminder-nanny/register-childminder,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,1898,Ofsted
Green,https://www.gov.uk/find-teaching-job,search for jobs in Wales,https://www.discoverteaching.wales/jobs/,Timeout,Failed to open TCP connection to www.discoverteaching.wales:443 (execution expired),1889,Department for Education
Green,https://www.gov.uk/career-skills-and-training,searching for jobs,https://www.officeforstudents.org.uk/for-students/student-outcomes-and-employability/graduate-employment-and-skills-guide/apply-for-jobs/,404,Not Found,1798,Department for Business and Trade
Green,https://www.gov.uk/career-skills-and-training,Graduate employment and skills guide,https://www.officeforstudents.org.uk/for-students/student-outcomes-and-employability/graduate-employment-and-skills-guide/develop-skills/,404,Not Found,1798,Department for Business and Trade
Green,https://www.gov.uk/career-skills-and-training,gaining work experience,https://www.officeforstudents.org.uk/for-students/student-outcomes-and-employability/graduate-employment-and-skills-guide/gain-experience/,404,Not Found,1798,Department for Business and Trade
Green,https://www.gov.uk/career-skills-and-training,identifying your skills,https://www.officeforstudents.org.uk/for-students/student-outcomes-and-employability/graduate-employment-and-skills-guide/identify-skills/,404,Not Found,1798,Department for Business and Trade
Green,https://www.gov.uk/higher-education-courses-find-and-apply,Starting a postgraduate course,http://postgradsteps.hefce.ac.uk/practical/,DNS Error,Failed to open TCP connection to postgradsteps.officeforstudents.org.uk:443 (getaddrinfo: No address associated with hostname),1689,Department for Education
Green,https://www.gov.uk/redundancy-your-rights/get-help-finding-a-new-job,different service in Wales,https://gov.wales/react-individuals,404,Not Found,1647,Department for Business and Trade
Green,https://www.gov.uk/charge-reclaim-record-vat/when-not-to-charge-vat,sending goods through the post (Royal Mail guidance),https://personal.help.royalmail.com/app/answers/detail/a_id/106,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),1596,HM Revenue & Customs
Green,https://www.gov.uk/find-regulated-awarding-organisation,Directory of Awarding Bodies,https://qualificationswales.org/english/our-work/regulating-awarding-bodies/directory-of-awarding-bodies/,404,Not Found,1138,Ofqual
Green,https://www.gov.uk/looking-after-someone-elses-child,how to get a charity grant from Buttle UK,http://www.buttleuk.org/need-support,404,Not Found,1122,Department for Education
Green,https://www.gov.uk/become-childminder-nanny/register-nanny,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,1068,Ofsted
Green,https://www.gov.uk/check-duties-customs-exporting,sending goods through the post (Royal Mail guidance),https://personal.help.royalmail.com/app/answers/detail/a_id/106,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),962,Department for Business and Trade
Green,https://www.gov.uk/become-childminder-nanny/how-much-it-costs,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,735,Ofsted
Green,https://www.gov.uk/selling-a-home/preparing-to-sell,estate agent,https://www.gov.uk/sell-a-home/estate-agents,404,Not Found,720,HM Revenue & Customs
Green,https://www.gov.uk/check-university-award-degree/recognised-awards,Royal Society of Chemistry,http://www.rsc.org/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,706,Office for Students
Green,https://www.gov.uk/charge-reclaim-record-vat/keeping-vat-records,sending goods through the post (Royal Mail guidance),https://personal.help.royalmail.com/app/answers/detail/a_id/106,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),698,HM Revenue & Customs
Green,https://www.gov.uk/complain-about-charity,Northern Ireland.,http://www.charitycommissionni.org.uk/concerns-and-decisions/concerns-about-charities-guidance/,404,Not Found,697,The Charity Commission
Green,https://www.gov.uk/become-childminder-nanny/choose-register,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,584,Ofsted
Green,https://www.gov.uk/contact-official-receiver,Institute of Chartered Accountants of Scotland,https://www.icas.com/professional-resources/insolvency/support-and-guidance/find-an-insolvency-practitioner,404,Not Found,554,Department for Business and Trade
Green,https://www.gov.uk/claiming-money-or-property-from-dissolved-company/restore-company-court-order,Court of Session,http://www.scotcourts.gov.uk/the-courts/court-of-session/about-the-court-of-session,404,Not Found,524,Department for Business and Trade
Green,https://www.gov.uk/consumer-advice,Postal Advice Scotland,https://postaladvice.scot/,SSL Error,SSL_connect returned=1 errno=0 peeraddr=3.8.87.135:443 state=error: certificate verify failed (unable to get local issuer certificate),502,Department for Business and Trade
Green,https://www.gov.uk/consumer-advice,Advice Direct Scotland,https://www.advice.scot/,SSL Error,SSL_connect returned=1 errno=0 peeraddr=3.9.147.253:443 state=error: certificate verify failed (unable to get local issuer certificate),502,Department for Business and Trade
Green,https://www.gov.uk/remove-charity-register,Charity Commission for Northern Ireland,http://www.charitycommissionni.org.uk/manage-your-charity/mergers-and-closures/,404,Not Found,483,The Charity Commission
Green,https://www.gov.uk/bullying-at-school,Bullying: advice for parents,http://www.nhs.uk/Livewell/Bullying/Pages/Bullyingadviceforparents.aspx,404,Not Found,411,Department for Education
Green,https://www.gov.uk/music-dance-scheme,Royal Birmingham Conservatoire,https://www.bcu.ac.uk/conservatoire/music/juniors/how-to-apply/fees-financial-support,404,Not Found,402,Department for Education
Green,https://www.gov.uk/music-dance-scheme,The Yehudi Menuhin School,https://www.menuhinschool.co.uk/school/admissions/Music-Dance-Scheme,404,Not Found,402,Department for Education
Green,https://www.gov.uk/music-dance-scheme,Swindon Dance,https://www.swindondance.org.uk/cat/funded-dance-training/,404,Not Found,402,Department for Education
Green,https://www.gov.uk/calculate-agricultural-holiday-entitlement,Scotland,https://www.webarchive.org.uk/wayback/archive/20170105180821/http://www.gov.scot/Publications/2012/10/7886,SSL Error,SSL_connect returned=1 errno=0 peeraddr=18.160.225.109:443 state=error: certificate verify failed (unable to get local issuer certificate),371,Department for Business and Trade
Green,https://www.gov.uk/bullying-at-school/reporting-bullying,Bullying: advice for parents,http://www.nhs.uk/Livewell/Bullying/Pages/Bullyingadviceforparents.aspx,404,Not Found,349,Department for Education
Green,https://www.gov.uk/become-childminder-nanny/register-childminder-outside-home,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,348,Ofsted
Green,https://www.gov.uk/charge-reclaim-record-vat/vat-on-discounts-and-gifts,sending goods through the post (Royal Mail guidance),https://personal.help.royalmail.com/app/answers/detail/a_id/106,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),316,HM Revenue & Customs
Green,https://www.gov.uk/become-charity-trustee,trustee in Northern Ireland,https://www.charitycommissionni.org.uk/start-up-a-charity/trusteeship,404,Not Found,309,The Charity Commission
Green,https://www.gov.uk/growing-your-business,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,285,Department for Business and Trade
Green,https://www.gov.uk/school-behaviour-exclusions/challenging-exclusion,Local Government Ombudsman,http://www.lgo.org.uk/making-a-complaint/,Timeout,Failed to open TCP connection to www.lgo.org.uk:80 (execution expired),262,Department for Education
Green,https://www.gov.uk/report-changes-charity,if your charity is based in Northern Ireland,https://www.charitycommissionni.org.uk/manage-your-charity/,404,Not Found,248,HM Revenue & Customs
Green,https://www.gov.uk/intrastat,register for Intrastat,https://www.uktradeinfo.com/intrastat/register/intrastat-registration/,404,Not Found,241,HM Revenue & Customs
Green,https://www.gov.uk/student-finance-for-existing-students,a student from Jersey,http://www.gov.je/Working/Careers/16To19YearOlds/EnteringHigherEducation/FinancingHigherEducationCourses/FundingDegreeProfessionalQualifications/Pages/index.aspx,Timeout,Failed to open TCP connection to www.gov.je:80 (execution expired),238,Student Loans Company
Green,https://www.gov.uk/growing-your-business/work-with-a-mentor,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,177,Department for Business and Trade
Green,https://www.gov.uk/become-childminder-nanny/after-you-apply,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,163,Ofsted
Green,https://www.gov.uk/growing-your-business/get-extra-funding,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,138,Department for Business and Trade
Green,https://www.gov.uk/what-to-do-when-an-employee-dies,Health and Safety Executive for Northern Ireland ( HSENI ).,http://www.hseni.gov.uk/contact-us/report-an-incident.htm,404,Not Found,136,HM Revenue & Customs
Green,https://www.gov.uk/become-childminder-nanny/after-youre-registered,Professional Association for Childcare and Early Years,http://www.pacey.org.uk/training.aspx,404,Not Found,135,Ofsted
Green,https://www.gov.uk/support-for-foster-parents/getting-support,training courses,https://www.fosterline.info/already-fostering/foster-carer-training/,404,Not Found,131,Department for Education
Green,https://www.gov.uk/bullying-at-school/bullying-a-definition,Bullying: advice for parents,http://www.nhs.uk/Livewell/Bullying/Pages/Bullyingadviceforparents.aspx,404,Not Found,129,Department for Education
Green,https://www.gov.uk/bullying-at-school/bullying-outside-school,Bullying: advice for parents,http://www.nhs.uk/Livewell/Bullying/Pages/Bullyingadviceforparents.aspx,404,Not Found,94,Department for Education
Green,https://www.gov.uk/employers-responsibilities-equality-monitoring,Find out more about equality monitoring on the Equality Commission for Northern Ireland website,https://www.equalityni.org/Employers-Service-Providers/Large-Business/Registration-and-monitoring/Monitoring,404,Not Found,75,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/attract-new-customers,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,70,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/attract-new-customers,direct marketing,https://www.marketingdonut.co.uk/advertising/mailings/what-is-direct-marketing,SSL Error,SSL_connect returned=1 errno=0 peeraddr=172.236.1.162:443 state=error: certificate verify failed (hostname mismatch),70,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/attract-new-customers,sales agents and distributors,https://www.marketingdonut.co.uk/sales/managing-sales-staff/sales-agents-and-distributors,SSL Error,SSL_connect returned=1 errno=0 peeraddr=172.236.1.162:443 state=error: certificate verify failed (hostname mismatch),70,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/attract-new-customers,"retailers, including online retailers",https://www.marketingdonut.co.uk/sales/sales-strategy/six-tips-for-suppliers-dealing-with-retailers,SSL Error,SSL_connect returned=1 errno=0 peeraddr=172.236.1.162:443 state=error: certificate verify failed (hostname mismatch),70,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/increase-sales-to-existing-customers,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,41,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/increase-sales-to-existing-customers,increasing sales,http://www.marketingdonut.co.uk/marketing/sales,404,Not Found,41,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/increase-sales-to-existing-customers,pricing strategy,https://www.marketingdonut.co.uk/marketing-essentials/set-prices/choose-a-pricing-strategy,SSL Error,SSL_connect returned=1 errno=0 peeraddr=172.236.1.162:443 state=error: certificate verify failed (hostname mismatch),41,Department for Business and Trade
Green,https://www.gov.uk/gwirio-rhif-eori,gwiriwch rifau EORI nad ydynt yn dechrau â GB ar-lein,https://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp?Lang=en,SSL Error,SSL_read: unexpected eof while reading,38,HM Revenue & Customs
Green,https://www.gov.uk/gwirio-rhif-eori,Dechrau nawr,https://www.tax.service.gov.uk/check-eori-number/cymraeg,404,Not Found,38,HM Revenue & Customs
Green,https://www.gov.uk/armed-forces-redundancy-calculator,Start now,http://83.138.137.164:9099/WizDisclaimer.aspx,Timeout,Failed to open TCP connection to 83.138.137.164:9099 (execution expired),36,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/hire-and-train-staff,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,27,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/improve-your-products-and-services,Marketing strategy,http://www.marketingdonut.co.uk/marketing/marketing-strategy,404,Not Found,26,Department for Business and Trade
Green,https://www.gov.uk/growing-your-business/improve-your-products-and-services,analytics software,https://www.techdonut.co.uk/node/2974,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,26,Department for Business and Trade
