Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Green,https://www.gov.uk/student-finance-register-login,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",1203209,Student Loans Company
Green,https://www.gov.uk/apply-apprenticeship,Apprenticeships: becoming an apprentice,https://www.apprenticeships.gov.uk/apprentices/becoming-apprentice,404,Not Found,277711,Department for Education
Green,https://www.gov.uk/council-tax-bands,Scottish Assessors,http://www.saa.gov.uk,403,"Blocked, but may work in a browser.",240233,HM Revenue & Customs
Green,https://www.gov.uk/student-finance,a student from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",75352,Student Loans Company
Green,https://www.gov.uk/become-sole-trader/register-sole-trader,Sign up for business support emails,https://subscriptions.hmrc.gov.uk/,405,Not Allowed,42302,HM Revenue & Customs
Green,https://www.gov.uk/apply-council-tax-reduction,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",41314,HM Revenue & Customs
Green,https://www.gov.uk/apply-online-for-student-finance,apply for student finance in Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",39391,Student Loans Company
Green,https://www.gov.uk/apply-free-school-meals,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",37760,Department for Education
Green,https://www.gov.uk/sign-in-apprenticeship-service-account,Sign in,https://accounts.manage-apprenticeships.service.gov.uk/service,400,Bad Request,35171,Department for Education
Green,https://www.gov.uk/sign-in-apprenticeship-service-account,try the articles for employers,https://help.apprenticeships.education.gov.uk/hc/en-gb,403,"Blocked, but may work in a browser.",35171,Department for Education
Green,https://www.gov.uk/set-up-business,business insurance,https://www.abi.org.uk/products-and-issues/choosing-the-right-insurance/business-insurance/,403,"Blocked, but may work in a browser.",30059,Department for Business and Trade
Green,https://www.gov.uk/search-bankruptcy-insolvency-register,Scotland,http://roi.aib.gov.uk/roi,403,"Blocked, but may work in a browser.",27134,Department for Business and Trade
Green,https://www.gov.uk/school-term-holiday-dates,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",25598,Department for Education
Green,https://www.gov.uk/become-sole-trader,business insurance,https://www.abi.org.uk/products-and-issues/choosing-the-right-insurance/business-insurance/,403,"Blocked, but may work in a browser.",25201,HM Revenue & Customs
Green,https://www.gov.uk/become-sole-trader,Sign up for business support emails,https://subscriptions.hmrc.gov.uk/,405,Not Allowed,25201,HM Revenue & Customs
Green,https://www.gov.uk/funding-for-postgraduate-study,British Academy,http://www.britac.ac.uk/,403,"Blocked, but may work in a browser.",24573,Department for Education
Green,https://www.gov.uk/funding-for-postgraduate-study,Student Awards Agency for Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",24573,Department for Education
Green,https://www.gov.uk/check-eori-number,check non-GB EORI numbers online,https://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp?Lang=en,SSL Error,SSL_read: unexpected eof while reading,23770,HM Revenue & Customs
Green,https://www.gov.uk/the-warm-home-discount-scheme,Find out about the Affordable Warmth scheme,https://www.nihe.gov.uk/article/1411/Affordable-Warmth-Scheme,403,"Blocked, but may work in a browser.",23354,"Department for Business, Energy & Industrial Strategy"
Green,https://www.gov.uk/student-finance/who-qualifies,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",22362,Student Loans Company
Green,https://www.gov.uk/report-tax-fraud,other types of fraud,http://reportfraud.police.uk/,403,"Blocked, but may work in a browser.",20446,HM Revenue & Customs
Green,https://www.gov.uk/contact-student-loans-company,Student Awards Agency Scotland,https://www.saas.gov.uk/contact-us,403,"Blocked, but may work in a browser.",20294,Student Loans Company
Green,https://www.gov.uk/masters-loan,you normally live in Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",20114,Student Loans Company
Green,https://www.gov.uk/support-child-or-partners-student-finance-application,applying in Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",19654,Student Loans Company
Green,https://www.gov.uk/student-finance-calculator,a student from Scotland,https://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",19517,Student Loans Company
Green,https://www.gov.uk/student-finance-calculator,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",19517,Student Loans Company
Green,https://www.gov.uk/student-finance/new-fulltime-students,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",16531,Student Loans Company
Green,https://www.gov.uk/self-assessment-tax-returns/no-longer-need-to-send-a-tax-return,HMRC online account,https://www.access.service.gov.uk/login/signin/creds,403,"Blocked, but may work in a browser.",15771,HM Revenue & Customs
Green,https://www.gov.uk/apply-for-student-finance,student finance in Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",14321,Student Loans Company
Green,https://www.gov.uk/valuing-estate-of-someone-who-died,when and how to hire a professional,https://www.moneyhelper.org.uk/en/family-and-care/death-and-bereavement/when-to-use-a-probate-specialist,403,"Blocked, but may work in a browser.",12899,HM Revenue & Customs
Green,https://www.gov.uk/advanced-learner-loan,work out the cost of borrowing,https://www.moneyhelper.org.uk/en/everyday-money/credit-and-purchases/how-to-work-out-the-true-cost-of-borrowing,403,"Blocked, but may work in a browser.",11164,Student Loans Company
Green,https://www.gov.uk/student-finance-on-or-after-1-january-2027,studying in Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",10694,Student Loans Company
Green,https://www.gov.uk/replacement-exam-certificate,AQA,https://www.aqa.org.uk/contact-us/past-results-and-lost-certificates,404,Not Found,10114,Department for Education
Green,https://www.gov.uk/replacement-exam-certificate,Council for Curriculum and Examinations Assessment ( CCEA ),http://ccea.org.uk/qualifications/adminhelp/replacement_certificates,403,"Blocked, but may work in a browser.",10114,Department for Education
Green,https://www.gov.uk/complain-about-hmrc,ask your MP,https://www.parliament.uk/mps-lords-and-offices/mps/,403,"Blocked, but may work in a browser.",8908,HM Revenue & Customs
Green,https://www.gov.uk/find-free-early-education,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",8473,Department for Education
Green,https://www.gov.uk/student-finance-forms,students from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",8008,Student Loans Company
Green,https://www.gov.uk/council-tax,in Scotland,http://www.saa.gov.uk/,403,"Blocked, but may work in a browser.",7915,HM Revenue & Customs
Green,https://www.gov.uk/student-finance/extra-help,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",6913,Student Loans Company
Green,https://www.gov.uk/become-sole-trader/choose-your-business-name,Sign up for business support emails,https://subscriptions.hmrc.gov.uk/,405,Not Allowed,6887,HM Revenue & Customs
Green,https://www.gov.uk/law-on-leaving-your-child-home-alone,National Society for the Prevention of Cruelty to Children ( NSPCC ),https://www.nspcc.org.uk/keeping-children-safe/in-the-home/home-alone/,403,"Blocked, but may work in a browser.",6777,Department for Education
Green,https://www.gov.uk/claim-gift-aid-online,register and enrol by selecting ‘Charities’ as a new user,https://www.tax.service.gov.uk/government-gateway-registration-frontend?accountType=organisation&continue=/account/&origin=GIFTAID-frontend,403,"Blocked, but may work in a browser.",6491,HM Revenue & Customs
Green,https://www.gov.uk/student-finance/continuing-fulltime-students,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",6258,Student Loans Company
Green,https://www.gov.uk/student-finance/apply,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",6147,Student Loans Company
Green,https://www.gov.uk/reasonable-adjustments-for-disabled-workers,Equality and Human Rights Commission website,https://www.equalityhumanrights.com/guidance/business/employing-people-workplace-adjustments,403,"Blocked, but may work in a browser.",6103,Department for Business and Trade
Green,https://www.gov.uk/options-for-dealing-with-your-debts,debt management,https://www.moneyhelper.org.uk/en/money-troubles/dealing-with-debt,403,"Blocked, but may work in a browser.",6089,Department for Business and Trade
Green,https://www.gov.uk/options-for-dealing-with-your-debts,free debt advisory services,https://www.moneyhelper.org.uk/en/money-troubles/dealing-with-debt/debt-advice-locator,403,"Blocked, but may work in a browser.",6089,Department for Business and Trade
Green,https://www.gov.uk/find-local-trading-standards-office,Start now,https://www.tradingstandards.uk/consumers/support-advice,403,"Blocked, but may work in a browser.",5663,Department for Business and Trade
Green,https://www.gov.uk/challenge-council-tax-band,Find a Scottish Assessor on the Scottish Assessors Association website,https://www.saa.gov.uk/assessors-links/,403,"Blocked, but may work in a browser.",5379,HM Revenue & Customs
Green,https://www.gov.uk/apply-for-student-finance/household-income,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",5301,Student Loans Company
Green,https://www.gov.uk/employers-find-apprenticeship-training,Start now,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/search,403,"Blocked, but may work in a browser.",5181,Department for Education
Green,https://www.gov.uk/workplace-pensions/what-you-your-employer-and-the-government-pay,MoneyHelper’s contributions calculator,https://www.moneyhelper.org.uk/en/pensions-and-retirement/auto-enrolment/workplace-pension-calculator,403,"Blocked, but may work in a browser.",5144,HM Revenue & Customs
Green,https://www.gov.uk/get-business-support,Facebook,https://www.facebook.com/BusinessSupportGov,400,Bad Request,5118,Department for Business and Trade
Green,https://www.gov.uk/get-business-support,Find funding with Better Business Finance,http://www.betterbusinessfinance.co.uk/,403,"Blocked, but may work in a browser.",5118,Department for Business and Trade
Green,https://www.gov.uk/get-business-support,Start Up Loans,https://www.startuploans.co.uk/,403,"Blocked, but may work in a browser.",5118,Department for Business and Trade
Green,https://www.gov.uk/children-with-special-educational-needs/extra-SEN-help,Council for Disabled Children,https://councilfordisabledchildren.org.uk/what-we-do-0/networks/information-advice-and-support-programme/how-find-and-access-support,403,"Blocked, but may work in a browser.",5115,Department for Education
Green,https://www.gov.uk/children-with-special-educational-needs/extra-SEN-help,"Information, Advice and Support Service Network",https://councilfordisabledchildren.org.uk/information-advice-and-support-services-network,403,"Blocked, but may work in a browser.",5115,Department for Education
Green,https://www.gov.uk/options-for-dealing-with-your-debts/breathing-space,find a free debt adviser,https://www.moneyhelper.org.uk/en/money-troubles/dealing-with-debt/debt-advice-locator,403,"Blocked, but may work in a browser.",5035,Department for Business and Trade
Green,https://www.gov.uk/apply-for-student-finance/when,you&#39;re from Scotland,http://www.saas.gov.uk/,403,"Blocked, but may work in a browser.",4821,Student Loans Company
Green,https://www.gov.uk/apply-for-primary-school-place,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",4739,Department for Education
Green,https://www.gov.uk/workplace-pensions/joining-a-workplace-pension,EU cross-border pension scheme,https://www.thepensionsregulator.gov.uk/en/document-library/regulatory-guidance/cross-border-schemes-guidance-following-end-of-brexit-transition-period,404,Not Found,4505,HM Revenue & Customs
Green,https://www.gov.uk/get-help-energy-bills,Find out about the Affordable Warmth scheme,https://www.nihe.gov.uk/Housing-Help/Affordable-Warmth-Boiler-Replacement/Affordable-Warmth-Scheme,403,"Blocked, but may work in a browser.",4500,"Department for Business, Energy & Industrial Strategy"
Green,https://www.gov.uk/employing-an-apprentice/get-funding,foundation apprenticeship,https://help.apprenticeships.education.gov.uk/hc/en-gb/articles/26909193364114-Foundation-Apprenticeships,403,"Blocked, but may work in a browser.",4499,Department for Education
Green,https://www.gov.uk/search-registered-design,Start now,https://www.registered-design.service.gov.uk/find/,403,"Blocked, but may work in a browser.",4360,Department for Business and Trade
Green,https://www.gov.uk/postgraduate-scholarships-international-students,eligibility criteria,https://www.chevening.org/scholarships/who-can-apply/eligibility/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
Green,https://www.gov.uk/postgraduate-scholarships-international-students,eligible work experience,http://www.chevening.org/apply/work-experience,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
Green,https://www.gov.uk/postgraduate-scholarships-international-students,Check if applications for a Chevening Scholarship are open where you live,http://www.chevening.org/apply,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,4360,Department for Education
