Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
,https://www.gov.uk/done/check-vehicle-tax,Make your next car electric,https://energysavingtrust.org.uk/advice/electric-vehicles/,403,"Blocked, but may work in a browser.",172591,
,https://www.gov.uk/find-your-local-food-safety-team,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",5150,
,https://www.gov.uk/understanding-food-labelling,Trading Standards,https://www.tradingstandards.uk/consumer-help,403,"Blocked, but may work in a browser.",625,
,https://www.gov.uk/done/treth-car,Gwnewch eich car nesaf yn un trydan,https://energysavingtrust.org.uk/advice/electric-vehicles/,403,"Blocked, but may work in a browser.",221,
,https://www.gov.uk/food-allergies/allergy-alerts,Sign up to allergy alerts,https://alerts.food.gov.uk/article/3143/Create-an-account?returnurl=https%3A%2F%2Falerts.food.gov.uk%2Fsign-in,403,"Blocked, but may work in a browser.",119,
,https://www.gov.uk/sefydlu-busnes,yswiriant busnes,https://www.abi.org.uk/products-and-issues/choosing-the-right-insurance/business-insurance/,403,"Blocked, but may work in a browser.",117,
,https://www.gov.uk/dod-yn-unig-fasnachwr,yswiriant busnes,https://www.abi.org.uk/products-and-issues/choosing-the-right-insurance/business-insurance/,403,"Blocked, but may work in a browser.",46,
,https://www.gov.uk/food-feed-incident,the latest food or feed incidents and product recalls,https://alerts.food.gov.uk/,403,"Blocked, but may work in a browser.",45,
,https://www.gov.uk/cysylltu-ar-cwmni-benthyciadau-myfyrwyr,Student Awards Agency Scotland,https://www.saas.gov.uk/contact-us,403,"Blocked, but may work in a browser.",34,
,https://www.gov.uk/done/gwirio-treth-cerbyd,Gwnewch eich car nesaf yn un trydan,https://energysavingtrust.org.uk/advice/electric-vehicles,403,"Blocked, but may work in a browser.",29,
,https://www.gov.uk/sefydlu-cwmni-cyfyngedig,yswiriant busnes,https://www.abi.org.uk/products-and-issues/choosing-the-right-insurance/business-insurance/,403,"Blocked, but may work in a browser.",27,
,https://www.gov.uk/pleidleisio-pan-fyddwch-yn-byw-dramor/adnewyddu-eich-cofrestriad-i-bleidleisio-o-dramor,Adnewyddu ar-lein,https://cymraeg.renew-your-overseas-voter-registration.service.gov.uk/start,400,Bad Request,20,
,https://www.gov.uk/sut-i-gofrestru-nod-masnach,cofrestru nodau masnach yn Jersey,https://www.jerseyfsc.org/registry/intellectual-property-office/,403,"Blocked, but may work in a browser.",19,
,https://www.gov.uk/rhedeg-busnes-bwyd,wneud cais i awdurdodi cynnyrch rheoleiddiedig,https://fsa-services-welsh-forms.food.gov.uk/regulated-products-application,403,"Blocked, but may work in a browser.",17,
,https://www.gov.uk/rhoi-gwybod-am-ebyst-gwefannau-gwerwydo-amheus,rhoi gwybod ar-lein (yn Saesneg),https://www.reportfraud.police.uk/reporting-a-fraud,403,"Blocked, but may work in a browser.",16,
,https://www.gov.uk/dod-o-hyd-i-addysg-gynnar-rhad-ac-am,Dod o hyd i god post ar chwiliwr cod post y Post Brenhinol,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",11,
,https://www.gov.uk/dod-o-hyd-ich-tim-diogelwch-bwyd-lleol,Dod o hyd i god post ar chwiliwr cod post y Post Brenhinol,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",11,
,https://www.gov.uk/rhedeg-busnes-bwyd/alergeddau,hyfforddiant ar-lein am ddim ar alergeddau bwyd,https://allergytraining.food.gov.uk/?lang=cy,503,Moodle under maintenance,9,
,https://www.gov.uk/arian-eiddo-perthynas-dod-i-ben,os nad oeddech yn briod neu mewn partneriaeth sifil,https://www.moneyhelper.org.uk/cy/family-and-care/divorce-and-separation/how-to-sort-out-your-finances-on-separation,403,"Blocked, but may work in a browser.",7,
,https://www.gov.uk/arian-eiddo-perthynas-dod-i-ben,gynlluniau pensiwn preifat,https://www.moneyhelper.org.uk/cy/pensions-and-retirement/pension-problems/split-pensions-in-a-divorce-or-dissolution,403,"Blocked, but may work in a browser.",7,
,https://www.gov.uk/pensiynau-personol-eich-hawliau,pensiynau personol hunan-fuddsoddi ( SIPPs ),https://www.moneyadviceservice.org.uk/en/articles/self-invested-personal-pensions,403,"Blocked, but may work in a browser.",4,
,https://www.gov.uk/pensiynau-personol-eich-hawliau,pensiynau rhanddeiliaid,https://www.moneyadviceservice.org.uk/en/articles/stakeholder-pensions,403,"Blocked, but may work in a browser.",4,
,https://www.gov.uk/systemau-rheoli-diogelwch-bwyd,egwyddorion HACCP,https://myhaccp-cy.food.gov.uk/cymorth/canllawiau/egwyddorion,403,"Blocked, but may work in a browser.",4,
,https://www.gov.uk/alergeddau-bwyd/rhybuddion-alergeddau,Tanysgrifio i gael rhybuddion alergeddau,https://alerts.food.gov.uk/article/3143/Create-an-account?returnurl=https%3A%2F%2Falerts.food.gov.uk%2Fsign-in,403,"Blocked, but may work in a browser.",3,
,https://www.gov.uk/cyn-chi-ymgeisio,dwrnai patentau,http://www.cipa.org.uk/find-a-patent-attorney/,403,"Blocked, but may work in a browser.",3,
,https://www.gov.uk/sut-i-gofrestru-nod-masnach/dechrau-eich-cais,Gwneud cais ar-lein,https://trademarks.ipo.gov.uk/ipo-apply,403,"Blocked, but may work in a browser.",2,
,https://www.gov.uk/arian-eiddo-perthynas-dod-i-ben/cael-cymorth-i-ddod-i-gytundeb,chyfrifiannell ysgariad a gwahanu,https://www.moneyhelper.org.uk/cy/family-and-care/divorce-and-separation/divorce-and-money-calculator,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/cofrestru-dyluniad/anfon-eich-cais,Gwnewch gais nawr,https://www.registered-design.service.gov.uk/apply,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/eiddo-deallusol-trosolwg/diogelu-eich-eiddo-deallusol,cyfreithiwr patent,http://www.cipa.org.uk,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/eiddo-deallusol-trosolwg/diogelu-eich-eiddo-deallusol,fath o eiddo deallusol sydd gennych,https://www.ipo.gov.uk/ip-support/welcome,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/hawlfraint/atal-pobl-rhag-defnyddio-eich-gwaith,Tribiwnlys Hawlfraint,http://www.ipo.gov.uk/ctribunal.htm,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/hawlfraint/atal-pobl-rhag-defnyddio-eich-gwaith,gofrestr trwyddedau,https://www.orphanworkslicensing.service.gov.uk/view-register,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/pensiynau-personol-eich-hawliau/sut-y-gallwch-gymryd-pensiwn,‘gronfa wedi’i chapio’,https://www.moneyadviceservice.org.uk/en/articles/capped-drawdown,403,"Blocked, but may work in a browser.",1,
,https://www.gov.uk/rhoi-gwybod-am-ebyst-gwefannau-gwerwydo-amheus/rhoi-gwybod-am-sgamiau-fisa-a-mewnfudo,Cysylltwch ag Report Fraud (yn Saesneg),https://www.reportfraud.police.uk,403,"Blocked, but may work in a browser.",1,
