slug,documentType,publishing_app,orgs,editionsFormattedOrg,rainbow_team
/wood-packaging-import-export,answer,publisher,Forestry Commission | HM Revenue & Customs,forestry-commission | hm-revenue-customs,Green | Red
/workplace-fire-safety-your-responsibilities,guide,publisher,"Department for Business and Trade | Department for Business, Energy & Industrial Strategy | Health and Safety Executive | Ministry of Housing, Communities and Local Government",department-for-business-and-trade | department-for-business-energy-and-industrial-strategy | health-and-safety-executive | ministry-of-housing-communities-local-government,Blue | Green | Red
/workplace-fire-safety-your-responsibilities/enforcement-appeals-and-penalties,guide,publisher,"Department for Business and Trade | Department for Business, Energy & Industrial Strategy | Health and Safety Executive | Ministry of Housing, Communities and Local Government",department-for-business-and-trade | department-for-business-energy-and-industrial-strategy | health-and-safety-executive | ministry-of-housing-communities-local-government,Blue | Green | Red
/workplace-fire-safety-your-responsibilities/fire-risk-assessments,guide,publisher,"Department for Business and Trade | Department for Business, Energy & Industrial Strategy | Health and Safety Executive | Ministry of Housing, Communities and Local Government",department-for-business-and-trade | department-for-business-energy-and-industrial-strategy | health-and-safety-executive | ministry-of-housing-communities-local-government,Blue | Green | Red
/workplace-fire-safety-your-responsibilities/fire-safety-and-evacuation-plans,guide,publisher,"Department for Business and Trade | Department for Business, Energy & Industrial Strategy | Health and Safety Executive | Ministry of Housing, Communities and Local Government",department-for-business-and-trade | department-for-business-energy-and-industrial-strategy | health-and-safety-executive | ministry-of-housing-communities-local-government,Blue | Green | Red
/workplace-fire-safety-your-responsibilities/fire-safety-equipment-drills-and-training,guide,publisher,"Department for Business and Trade | Department for Business, Energy & Industrial Strategy | Health and Safety Executive | Ministry of Housing, Communities and Local Government",department-for-business-and-trade | department-for-business-energy-and-industrial-strategy | health-and-safety-executive | ministry-of-housing-communities-local-government,Blue | Green | Red
/written-off-vehicle,transaction,publisher,Driver and Vehicle Licensing Agency,driver-and-vehicle-licensing-agency,Red
/ychwanegu-categoriau-uwch-at-eich-trwydded-yrru,answer,publisher,Driver and Vehicle Licensing Agency,driver-and-vehicle-licensing-agency,Red
/your-property-boundaries,guide,publisher,HM Land Registry,land-registry,Red
/your-property-boundaries/apply-exact-boundary-determined,guide,publisher,HM Land Registry,land-registry,Red
/your-property-boundaries/boundary-agreement-neighbour,guide,publisher,HM Land Registry,land-registry,Red
/your-property-boundaries/correct-boundary-mistake-title-plan,guide,publisher,HM Land Registry,land-registry,Red
/your-rights-to-housing-if-youre-under-18,answer,publisher,"Ministry of Housing, Communities and Local Government",ministry-of-housing-communities-local-government,Red
/zero-emission-vehicle-grants,guide,publisher,Department for Transport | Office for Low Emission Vehicles,department-for-transport | office-for-low-emission-vehicles,Red
/zero-emission-vehicle-grants/cars,guide,publisher,Department for Transport | Office for Low Emission Vehicles,department-for-transport | office-for-low-emission-vehicles,Red
/zero-emission-vehicle-grants/trucks,guide,publisher,Department for Transport | Office for Low Emission Vehicles,department-for-transport | office-for-low-emission-vehicles,Red
/zero-emission-vehicle-grants/vans,guide,publisher,Department for Transport | Office for Low Emission Vehicles,department-for-transport | office-for-low-emission-vehicles,Red
/zero-emission-vehicle-grants/wheelchair-accessible-vehicles,guide,publisher,Department for Transport | Office for Low Emission Vehicles,department-for-transport | office-for-low-emission-vehicles,Red
